passengerTraffic,type,stationName,stationShortCode,stationUICCode,countryCode,longitude,latitude
false,STATION,Kälviä,KLV,316,FI,23.45190233477736,63.85979347241314
true,STATION,Käpylä,KÄP,977,FI,24.96013552873094,60.22306436922998
false,STATION,Köykkäri,KÖK,1144,FI,22.77186204438211,63.34511142469067
false,STATION,Laajavuori,LAV,1341,FI,24.84874915844115,60.28417948199126
false,STATION,Lahdenperä,LPR,1149,FI,24.94519861958613,61.81247070453577
false,STATION,Lahnaslampi,LHN,871,FI,28.0739967446234,64.12224125428143
true,STATION,Lahti,LH,100,FI,25.6579920568628,60.9768171778042
true,STATION,Laihia,LAI,293,FI,22.00263097949812,62.99130537931087
false,STATION,Lakiala,LAK,212,FI,23.52682033536459,61.62648934140056
false,STATION,Lamminkoski,LMK,1151,FI,23.0608987473672,62.10853495570308
false,STATION,Lamminniemi,LAM,845,FI,27.67804934984065,64.23547983978702
false,STATION,Lapinjärvi,LPJ,108,FI,26.12876407579433,60.59928245968143
true,STATION,Lapinlahti,LNA,416,FI,27.39516906372754,63.36195362113283
false,TURNOUT_IN_THE_OPEN_LINE,Lapinneva,LPN,683,FI,22.9348308238147,61.9813168259567
true,STATION,Lappeenranta,LR,495,FI,28.19651329263493,61.04812377957047
true,STOPPING_POINT,Lappila,LAA,94,FI,25.17476584002261,60.84924882865499
true,STATION,Lappohja,LPO,75,FI,23.23648281334294,59.90397958993631
true,STATION,Lapua,LPA,298,FI,23.01475611687224,62.97249654548296
false,STATION,Larvakytö,LYÖ,1153,FI,22.93551221040336,62.68126741726839
false,STATION,Laukaa,LAU,249,FI,25.92523974747402,62.4236219743963
false,STATION,Laurila,LLA,360,FI,24.5346145486047,65.7990594086435
false,STATION,Lauritsala,LRS,498,FI,28.26144213577885,61.0667568436373
false,STATION,Lautiosaari,LI,829,FI,24.56557587877036,65.78136741800272
true,STOPPING_POINT,Leinelä,LNÄ,1333,FI,25.01390623625812,60.3190856770206
false,STATION,Lelkola,LKL,993,FI,26.96781166304919,61.52729870524506
true,STATION,Lempäälä,LPÄ,156,FI,23.75503722582382,61.31477998607919
true,STOPPING_POINT,Lentoasema,LEN,1332,FI,24.98501470519679,60.31775263809283
false,STATION,Leppäkoski,LK,43,FI,24.69613419345947,60.87324323516955
true,STATION,Leppävaara,LPV,68,FI,24.81382750533627,60.21952094291206
false,STATION,Leteensuo,LTS,1154,FI,24.23288585109083,61.06582643905312
true,STATION,Lieksa,LIS,468,FI,30.0191788457779,63.31942095575441
false,TURNOUT_IN_THE_OPEN_LINE,Lieksan teollisuuskylä,LTK,1157,FI,30.0674558273241,63.31539857468368
false,STATION,Lielahti,LLH,183,FI,23.68163979480699,61.51084845476586
true,STATION,Lievestuore,LVT,246,FI,26.19717852280544,62.26076777417768
false,STATION,Liminka,LKA,338,FI,25.42466568025898,64.8120693752893
false,TURNOUT_IN_THE_OPEN_LINE,Lohiluoma,LUO,1159,FI,22.28035183407641,62.53460870299577
false,STATION,Lohja,LO,81,FI,24.11643255639881,60.26550450208837
true,STATION,Loimaa,LM,142,FI,23.06007378942987,60.84770034022728
true,STOPPING_POINT,Louhela,LOH,661,FI,24.85367399454637,60.27086687498113
false,STATION,Loukolampi,LOL,861,FI,27.20494714769981,62.16347922976292
false,STATION,Loviisan satama,LVS,106,FI,26.24857158640598,60.41837375805867
false,STATION,Luikonlahti,LUI,411,FI,28.67735065996488,62.92874192722125
true,STOPPING_POINT,Luoma,LMA,71,FI,24.55113139963558,60.17313146868081
true,STOPPING_POINT,Lusto,LUS,690,FI,29.32459332499846,61.80117300519136
false,STATION,Luumäki,LÄ,487,FI,27.76339585004961,60.94471189234196
false,STATION,Länkipohja,LÄP,203,FI,24.81349352865497,61.74148493947314
false,STATION,Maanselkä,MLK,382,FI,28.50150806319556,63.88367930603354
false,STATION,Maaria,MRI,1166,FI,22.36528001382712,60.53874556237932
false,STATION,Madesjärvi,MD,217,FI,22.98707080734091,62.31259478479377
false,STATION,Majajärvi,MJJ,1168,FI,23.46930982344049,61.68357095273473
true,STATION,Malmi,ML,17,FI,25.01228365397716,60.2519238069687
true,STOPPING_POINT,Malminkartano,MLO,659,FI,24.86165879503595,60.24937584221512
false,STATION,Mankala,MKA,1336,FI,26.17044795599938,60.90508476147516
true,STATION,Mankki,MNK,706,FI,24.58336011307829,60.18529344448437
false,STATION,Markkala,MRK,896,FI,27.191928921129,62.54099881294595
true,STOPPING_POINT,Martinlaakso,MRL,662,FI,24.85297969933104,60.27814910798213
true,STOPPING_POINT,Masala,MAS,64,FI,24.53935635728351,60.15868387050028
false,STATION,Matkaneva,MTV,1171,FI,23.33770924799934,63.84268413846684
false,STATION,Mattila,MAT,1172,FI,23.75905778970709,61.26138677944003
false,TURNOUT_IN_THE_OPEN_LINE,Meltola,MEL,584,FI,23.77311963230788,60.1045456364269
false,TURNOUT_IN_THE_OPEN_LINE,Metsäkansa,MSÄ,558,FI,23.90767916914053,61.20833628843641
true,STATION,Mikkeli,MI,546,FI,27.2794111703306,61.68842580448914
true,STATION,Misi,MIS,366,FI,26.68871476526339,66.62052783823319
true,STOPPING_POINT,Mommila,MLA,93,FI,25.07562075276939,60.82146247609396
true,STATION,Moskova_(Leningradski),MVA,6007,RU,33.21093910575679,59.63544231418012
true,STATION,Muhos,MH,375,FI,25.99304285725017,64.8072809438331
false,STATION,Mukkula,MUK,594,FI,25.6585316967802,61.00610378845409
false,STATION,Murtomäki,MUR,386,FI,27.58133544723526,64.06598944304325
false,TURNOUT_IN_THE_OPEN_LINE,Mustio,MSO,78,FI,23.86824142044064,60.1403766868212
false,STATION,Mustolan satama,MST,77,FI,28.3381045441189,61.05624991064256
false,STATION,Muukko,MKO,1180,FI,28.3434164727626,61.08851303668337
false,STATION,Muurame,MUU,433,FI,25.651432000403,62.11124413455745
true,STATION,Muurola,MUL,363,FI,25.37590919112398,66.37338741576764
false,STATION,Myllykangas,MYS,1183,FI,25.27330887920169,65.5379276076217
true,STOPPING_POINT,Myllykoski,MKI,536,FI,26.78878740841026,60.7702796349898
true,STOPPING_POINT,Myllymäki,MY,263,FI,24.28114871286478,62.52572704685967
false,STATION,Myllyoja,MYL,606,FI,25.99056018217938,61.16410976800866
false,STATION,Mynttilä,MYT,543,FI,26.92518933002756,61.48780910334277
false,STATION,Mynämäki,MYN,123,FI,21.96332498481038,60.65063896226259
true,STATION,Myyrmäki,MYR,660,FI,24.85512645024951,60.26138729030786
true,STOPPING_POINT,Mäkkylä,MÄK,693,FI,24.84335285943196,60.22135166760783
true,STATION,Mäntsälä,MLÄ,27,FI,25.30804882689838,60.64747215170215
false,STATION,Mänttä,MÄN,198,FI,24.64722941809923,62.02979598624717
true,STATION,Mäntyharju,MR,544,FI,26.88301862272029,61.42161667696219
false,STATION,Mäntyluoto,MN,223,FI,21.52698594477221,61.59611685869375
false,STATION,Naantali,NNL,124,FI,22.03286990105007,60.46627942259062
false,STATION,Naarajärvi,NRI,895,FI,27.04679210978041,62.28399494703678
false,STATION,Nakkila,NAL,672,FI,21.96877874683678,61.38755327504111
true,STOPPING_POINT,Nastola,NSL,595,FI,25.93630501706583,60.93588775548591
false,STATION,Niemenpää,NMP,1185,FI,23.92114137041001,66.16799309400896
false,TURNOUT_IN_THE_OPEN_LINE,Niinimaa,NII,285,FI,23.42045465402991,62.64327467094802
false,STATION,Niinimäki,NMÄ,1324,FI,26.39036665297726,60.87663180347209
false,STATION,Niinisalo,NNS,227,FI,22.48131930955572,61.84536930103178
false,STATION,Niirala,NRL,446,FI,30.60318246456116,62.17576333509505
false,STATION,Niirala-raja,NRLR,445,FI,30.63520740593547,62.17109765760528
false,STATION,Niittylahti,NTH,917,FI,29.84852271475043,62.51310930806942
true,STOPPING_POINT,Nikkilä,NLÄ,22,FI,25.26709690184649,60.38247623486703
true,STATION,Nivala,NVL,328,FI,24.96130874730654,63.93793188822584
true,STATION,Nokia,NOA,181,FI,23.49901257011566,61.4816208988202
false,STATION,Nummela,NM,84,FI,24.31711023318116,60.32888068549408
true,STOPPING_POINT,Nuppulinna,NUP,565,FI,25.01923386124053,60.52953733166319
true,STATION,Nurmes,NRM,472,FI,29.13964809524903,63.54240718848218
false,TURNOUT_IN_THE_OPEN_LINE,Närpiö,NÄR,268,FI,21.36288428629279,62.46912319047021
false,TURNOUT_IN_THE_OPEN_LINE,Ohenmäki,OHM,1190,FI,27.26816328318058,63.49633214078571
true,STATION,Oitti,OI,92,FI,25.02177663623284,60.79008217345248
false,TURNOUT_IN_THE_OPEN_LINE,Olli,OLLI,570,FI,25.37482106248185,60.38291012878976
false,TURNOUT_IN_THE_OPEN_LINE,Onttola,ONT,443,FI,29.70296572373675,62.63649982419007
false,TURNOUT_IN_THE_OPEN_LINE,Orimattila,OM,109,FI,25.74949971613381,60.81476991705373
true,STATION,Orivesi,OV,190,FI,24.3682585563462,61.65071908173213
true,STOPPING_POINT,Orivesi keskusta,OVK,1316,FI,24.37004886395428,61.67453843984684
false,STATION,Otanmäki,OTM,385,FI,27.09387552935176,64.11362339183061
false,STATION,Otava,OT,545,FI,27.07293578414057,61.6414182726821
true,STATION,Oulainen,OU,322,FI,24.82147000231099,64.27115016072229
true,STATION,Oulu asema,OL,370,FI,25.48694443620122,65.01436484398653
false,STATION,Oulu Nokela,NOK,1195,FI,25.48033920948532,64.99131330827448
false,STATION,Oulu Oritkari,ORI,1196,FI,25.47452900434554,65.00135974162235
false,STATION,Oulu tavara,OLT,1197,FI,25.47426780345459,65.00296356963776
false,STATION,Oulu Tuira,TUA,339,FI,25.47576337348152,65.03068409219094
true,STATION,Oulunkylä,OLK,15,FI,24.96850881268564,60.22926457931425
true,STATION,Paimenportti,PTI,768,FI,26.91814366085923,60.47606337343475
false,STATION,Paimio,PO,128,FI,22.68556775580264,60.4596049590825
false,STATION,Palopuro,PLP,562,FI,24.90661979797415,60.60167449013571
true,STATION,Paltamo,PTO,379,FI,27.82405642228581,64.40231394217331
false,STATION,Pankakoski,PAS,935,FI,30.12832140263593,63.3227614345935
true,STATION,Parikkala,PAR,510,FI,29.50526085780964,61.55907216661326
true,STATION,Parkano,PKO,215,FI,23.07806350568255,62.05294521875695
true,STATION,Parola,PRL,49,FI,24.36653106357095,61.05040794545371
true,STATION,Pasila asema,PSL,10,FI,24.93378787904055,60.19903408296963
true,STATION,Pasila autojuna-asema,PAU,1328,FI,24.9358411564204,60.20741926594994
false,STATION,Pasila tavara,PSLT,1034,FI,24.93621447499272,60.21239208127861
false,STATION,Patokangas,PTG,1346,FI,27.53591316092887,66.71409185204243
